id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1319275,San Marco CRADLE for couples!,3545058,Paolo,Isole,San Marco,45.431875649708296,12.332185298292503,Entire home/apt,99,2,154,2017-04-21,3.35,1,5
10898361,Ca' San Samuele,53699315,Marinella E Stefano,Isole,San Marco,45.43442583617062,12.330607472209822,Entire home/apt,160,3,7,2017-04-09,0.52,7,254
724178,Apartment Tiziano Venice 5 people,2634978,Massimo,Isole,San Marco,45.43324218443997,12.337183011621468,Entire home/apt,179,3,2,2016-05-08,0.10,73,317
331151,apartment Laura Rialto ,1688828,Laura,Isole,San Marco,45.43788144906948,12.337456955092557,Entire home/apt,110,3,29,2017-04-10,0.79,2,313
139786,Ca' Grassi 2 Apartment,669047,ViewsOnVenice,Isole,San Marco,45.434521425163226,12.329306963754734,Entire home/apt,203,3,11,2016-07-22,0.17,43,208
15142490,San Marco romantic dream,27394391,Davide,Isole,San Marco,45.43307952601633,12.331038225424168,Entire home/apt,100,3,13,2017-04-21,1.90,3,180
11669547,"Residenza Manin, New Flat Venice",25496626,Bertoli,Isole,San Marco,45.4345935752303,12.334100195534251,Entire home/apt,489,1,0,,,2,341
5657232,High View apartment,29271096,Ari,Isole,San Marco,45.43538271319877,12.332379735752312,Entire home/apt,130,2,20,2016-10-16,0.83,9,344
5428344,SAN BARTOLOMIO - Only a 50 meters to Rialto bridge,10189388,Raffaella,Isole,San Marco,45.4375482871454,12.336393755252328,Entire home/apt,165,3,10,2017-05-08,0.44,58,282
9770775,TOWER SUITE SAN MARCO,50349340,Sebastiano,Isole,San Marco,45.43531276506076,12.335901251079457,Entire home/apt,101,1,175,2017-05-05,10.69,3,231
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.434817073603945,12.33647979860951,Entire home/apt,120,3,67,2016-09-29,0.93,4,210
14604853,APPARTAMENTO SAN MARCO CON TERRAZZA,51054790,Anna,Isole,San Marco,45.432498423848685,12.33600155460237,Entire home/apt,400,2,3,2017-04-09,0.70,4,208
14366208,Leon 1014,87679056,Giorgio,Isole,San Marco,45.434756863713424,12.337179696854944,Entire home/apt,250,2,44,2017-04-25,5.24,1,263
14737084,Holiday large apartment with jacuzzi in the center,2227088,Gabriele,Isole,San Marco,45.43235989865923,12.33031969562384,Entire home/apt,210,4,6,2017-04-19,0.78,5,332
15474621,"IN THE HEART OF VENICE, COMFORTABLE Apt. 6 PERS.",99177144,Casa,Isole,San Marco,45.43463940905697,12.329442092805996,Entire home/apt,220,3,0,,,2,357
1188334,"Elegant, contemporary, canal view",4893459,Roberta,Isole,San Marco,45.433738834411926,12.334976951897952,Entire home/apt,150,4,43,2017-03-05,1.88,2,244
11232084,"Appartamento "" Casa Jazz"" con altane e terrazzino",35353722,Eliana,Isole,San Marco,45.43392622087245,12.3297651165084,Entire home/apt,150,3,3,2017-05-02,3,1,124
